timestamp,voltage,current,power,energy,frequency,pf,apparentPower,reactivePower
1754680866,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680867,212.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680868,212.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680869,212.40,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680870,212.60,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680871,212.80,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680872,212.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680874,212.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680875,213.10,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680876,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680877,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680878,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680879,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680880,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680880,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680880,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680881,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680883,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680884,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680885,213.40,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680886,213.80,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680887,213.70,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680888,213.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680889,213.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680891,213.80,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680892,213.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680893,213.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680894,213.60,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680895,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680896,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680897,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680899,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680900,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680901,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680902,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680903,213.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680904,213.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680905,213.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680907,213.00,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680908,213.10,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680909,213.00,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680910,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680911,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680913,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680914,213.10,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680915,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680916,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680917,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680918,212.70,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680919,212.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680921,213.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680922,213.70,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680923,213.70,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680924,213.70,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680925,214.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680926,213.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680927,213.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680929,213.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680930,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680931,213.00,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680932,212.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680933,212.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680934,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680935,212.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680937,212.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680938,212.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680939,212.90,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680940,213.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680941,213.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680942,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680943,213.30,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680945,213.30,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680946,213.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680947,213.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680948,214.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680949,214.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680950,214.20,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680951,213.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680953,213.50,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680954,213.60,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680955,214.00,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680956,213.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680957,213.50,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680958,213.30,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680959,213.30,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680960,213.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680962,213.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680963,213.30,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680964,213.20,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680965,213.80,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680966,213.30,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680968,213.10,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680969,212.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680970,213.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680971,213.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680972,213.50,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680973,212.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680975,212.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680976,212.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680977,212.10,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680978,212.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680979,212.50,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680980,212.50,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680981,212.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680982,212.40,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680984,212.50,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680985,212.60,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680986,212.70,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680987,212.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680988,212.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680989,212.90,0.000,0.00,52.326,49.8,0.000,0.00,0.00
1754680991,212.80,0.000,0.00,52.326,49.9,0.000,0.00,0.00
1754680992,212.80,0.000,0.00,52.326,49.8,0.000,0.00,0.00
